
RuleName                             Severity ScriptName               Line Message
--------                             -------- ----------               ---- -------
PSAvoidUsingWriteHost                 Warning BulkFix-Scripts.ps1        22 File 'BulkFix-Scripts.p…
PSAvoidUsingWriteHost                 Warning BulkFix-Scripts.ps1        33 File 'BulkFix-Scripts.p…
PSAvoidUsingWriteHost                 Warning BulkFix-Scripts.ps1        69 File 'BulkFix-Scripts.p…
PSUseDeclaredVarsMoreThanAssignments  Warning BulkFix-Scripts.ps1        24 The variable 'errors' i…
PSAvoidUsingWriteHost                 Warning Format-Scripts.ps1         18 File 'Format-Scripts.ps…
PSAvoidUsingWriteHost                 Warning Format-Scripts.ps1         19 File 'Format-Scripts.ps…
PSAvoidUsingWriteHost                 Warning Format-Scripts.ps1         41 File 'Format-Scripts.ps…
PSAvoidUsingWriteHost                 Warning Format-Scripts.ps1         50 File 'Format-Scripts.ps…
PSAvoidUsingWriteHost                 Warning Format-Scripts.ps1         53 File 'Format-Scripts.ps…
PSAvoidUsingWriteHost                 Warning Format-Scripts.ps1         61 File 'Format-Scripts.ps…
PSAvoidUsingWriteHost                 Warning Format-Scripts.ps1         68 File 'Format-Scripts.ps…
PSUseApprovedVerbs                    Warning LMStudio.psm1              56 The cmdlet 'Run-QwenHer…
PSUseDeclaredVarsMoreThanAssignments  Warning QAValidator.ps1            63 The variable 'hasFailur…
PSAvoidUsingWriteHost                 Warning Update-ModuleVersion.ps1   14 File 'Update-ModuleVers…


