2026-09-10 16:59:58 - === Starting QA Validation ===
2026-09-10 16:59:58 - ❌ post-creative-3.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-creative-4.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-engineering-3.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-engineering-5.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-finance-2.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-finance-4.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-language-4.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-law-5.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-medicine-1.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-medicine-2.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-medicine-4.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-misc-1.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-misc-4.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-misc-5.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-operations-1.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-operations-3.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-operations-5.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-sciences-1.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-sciences-1.md missing affiliate link
2026-09-10 16:59:58 - ❌ post-sciences-2.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-sciences-2.md missing affiliate link
2026-09-10 16:59:58 - ❌ post-tech-1.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-tech-2.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-tech-3.md missing category in front matter
2026-09-10 16:59:58 - ❌ post-tech-5.md missing category in front matter
2026-09-10 16:59:58 - === QA Validation Complete ===
2026-09-10 16:59:58 - Summary:
2026-09-10 16:59:58 -    ✅ Valid posts: 0
2026-09-10 16:59:58 -    ❌ Invalid category posts: 0
2026-09-10 16:59:58 -    ❌ Missing category posts: 23
2026-09-10 16:59:58 -    ❌ Missing affiliate link posts: 2
2026-09-10 16:59:58 -    ❌ Mismatched affiliate link posts: 0
=== RunAll-Tests.ps1 started ===
Running PSScriptAnalyzer on active scripts...
✅  Create-Release.ps1 passed analyzer checks.
✅ acorn_clean.ps1 passed analyzer checks.
✅ acorn.ps1 passed analyzer checks.
✅ Analyze-And-Fix.ps1 passed analyzer checks.
✅ AutoFix-MABS.ps1 passed analyzer checks.
✅ AutoFix-QA.ps1 passed analyzer checks.
✅ BatchCreateBlogs.ps1 passed analyzer checks.
✅ blog-template-20260811-140751.updated_clean.ps1 passed analyzer checks.
✅ blog-template-20260811-140751.updated.ps1 passed analyzer checks.
✅ BulkFix-Posts.ps1 passed analyzer checks.
✅ BulkFix-Scripts.ps1 passed analyzer checks.
✅ Check-EleventySetup.ps1 passed analyzer checks.
✅ create-categories_clean.ps1 passed analyzer checks.
✅ create-categories.ps1 passed analyzer checks.
✅ Create-Release.ps1 passed analyzer checks.
✅ CreateBlog_clean.ps1 passed analyzer checks.
✅ CreateBlog.ps1 passed analyzer checks.
✅ CreateCategories.ps1 passed analyzer checks.
✅ DebugAllWithQwen.ps1 passed analyzer checks.
✅ DeployAll.ps1 passed analyzer checks.
✅ dev-ip_clean.ps1 passed analyzer checks.
✅ dev-ip.ps1 passed analyzer checks.
✅ Diagnostics_clean.ps1 passed analyzer checks.
✅ Diagnostics.ps1 passed analyzer checks.
✅ ejs_clean.ps1 passed analyzer checks.
✅ ejs.ps1 passed analyzer checks.
✅ eleventy_clean.ps1 passed analyzer checks.
✅ eleventy-dev-server_clean.ps1 passed analyzer checks.
✅ eleventy-dev-server.ps1 passed analyzer checks.
✅ eleventy.ps1 passed analyzer checks.
✅ errno_clean.ps1 passed analyzer checks.
✅ errno.ps1 passed analyzer checks.
✅ esparse_clean.ps1 passed analyzer checks.
✅ esparse.ps1 passed analyzer checks.
✅ esvalidate_clean.ps1 passed analyzer checks.
✅ esvalidate.ps1 passed analyzer checks.
✅ Fix-CategoriesConflict.ps1 passed analyzer checks.
✅ Fix-CategoryTemplates.ps1 passed analyzer checks.
✅ Fix-DuplicateHeaderFooter.ps1 passed analyzer checks.
✅ Fix-EleventyAll.ps1 passed analyzer checks.
✅ Fix-EleventyRepo.ps1 passed analyzer checks.
